d,g50,g1M
10,-0.7192258297420505,-0.7192258297420505
10,-0.7262673156549196,-0.7262673156549196
10,-0.7278772813453709,-0.7278772813453709
10,-0.722209062972711,-0.722209062972711
10,-0.727512912220042,-0.727512912220042
10,-0.597069167772297,-0.597069167772297
10,-0.6045379621445622,-0.6045379621445622
10,-0.618063302561916,-0.618063302561916
10,-0.6194280860149782,-0.6194280860149782
10,-0.615817233106147,-0.615817233106147
10,-0.7562500570872501,-0.7562500570872501
10,-0.7282866761508603,-0.7282866761508603
10,-0.726539065816355,-0.726539065816355
10,-0.7220999328621492,-0.7220999328621492
10,-0.7251324490267528,-0.7251324490267528
10,-0.6591583271417834,-0.6591583271417834
10,-0.6904056371333066,-0.6904056371333066
10,-0.6922041764955567,-0.6922041764955567
10,-0.6928103243797118,-0.6928103243797118
10,-0.7201171058218001,-0.7201171058218001
10,-0.7024318989069279,-0.7024318989069279
10,-0.7021002621974644,-0.7021002621974644
10,-0.6976071251432759,-0.6976071251432759
10,-0.7008259432586565,-0.7008259432586565
10,-0.6986634352979565,-0.6986634352979565
10,-0.6942090053683224,-0.6942090053683224
10,-0.6904496719130118,-0.6904496719130118
10,-0.6889648277437425,-0.6889648277437425
10,-0.6269970723285243,-0.6269970723285243
10,-0.6257307723124194,-0.6257307723124194
10,-0.6281113809351104,-0.6281113809351104
10,-0.6194691440676193,-0.6194691440676193
10,-0.6046689958757553,-0.6046689958757553
10,-0.6051238031660823,-0.6051238031660823
10,-0.6027065859725411,-0.6027065859725411
10,-0.6002089734047459,-0.6002089734047459
10,-0.673280760233349,-0.673280760233349
10,-0.6685703920335782,-0.6685703920335782
10,-0.6667943438983369,-0.6667943438983369
10,-0.6642287091727623,-0.6642287091727623
10,-0.6891625575187067,-0.6891625575187067
10,-0.6824909718386958,-0.6824909718386958
10,-0.6831257109258138,-0.6831257109258138
10,-0.6788404683392204,-0.6788404683392204
10,-0.3497677888429936,-0.3497677888429936
10,-0.3514176221334792,-0.3514176221334792
10,-0.3564806804333696,-0.3564806804333696
10,-0.3621622283800614,-0.3621622283800614
10,-0.364951595796675,-0.364951595796675
10,-0.3651361765358174,-0.3651361765358174
10,-0.3699271011405933,-0.3699271011405933
10,-0.3740264216895888,-0.3740264216895888
10,-0.3607713446572624,-0.3607713446572624
10,-0.3743424625859742,-0.3743424625859742
10,-0.3756945459670893,-0.3756945459670893
10,-0.3741494933863528,-0.3741494933863528
10,-0.3825851580239706,-0.3825851580239706
10,-0.3875508145134597,-0.3875508145134597
10,-0.3883290823384753,-0.3883290823384753
10,-0.3882285156264988,-0.3882285156264988
10,-0.3972730609314777,-0.3972730609314777
10,-0.4025057450657387,-0.4025057450657387
10,-0.4257855849199801,-0.4257855849199801
10,-0.7143162164097449,-0.7143162164097449
10,-0.7274346258755768,-0.7274346258755768
10,-0.739045324867057,-0.739045324867057
10,-0.7448832560719171,-0.7448832560719171
10,-0.756526560198208,-0.756526560198208
10,-0.7060906987402643,-0.7060906987402643
10,-0.7489292096309553,-0.7489292096309553
10,-0.748368803455843,-0.748368803455843
10,-0.7447798028662328,-0.7447798028662328
10,-0.5667684358271772,-0.5667684358271772
10,-0.5680193158698497,-0.5680193158698497
10,-0.5630311580955064,-0.5630311580955064
10,-0.5695103070633953,-0.5695103070633953
10,-0.572021505813285,-0.572021505813285
10,-0.5658595398325411,-0.5658595398325411
10,-0.722225923235069,-0.722225923235069
10,-0.7304644928765924,-0.7304644928765924
10,-0.7470612500714817,-0.7470612500714817
10,-0.7530840715429004,-0.7530840715429004
10,-0.7618417901793875,-0.7618417901793875
10,-0.752877289174396,-0.752877289174396
10,-0.7657580511918416,-0.7657580511918416
10,-0.7728290922258994,-0.7728290922258994
10,-0.7685115724884908,-0.7685115724884908
10,-0.7748289861544099,-0.7748289861544099
10,-0.7854451669214558,-0.7854451669214558
10,-0.7733812011147172,-0.7733812011147172
10,-0.6937080837073251,-0.6937080837073251
10,-0.7003654627981956,-0.7003654627981956
10,-0.6987259255000979,-0.6987259255000979
10,-0.7041502350772947,-0.7041502350772947
10,-0.7314301109346286,-0.7314301109346286
10,-0.6862532610642279,-0.6862532610642279
10,-0.7220037890562522,-0.7220037890562522
10,-0.7488432622991403,-0.7488432622991403
10,-0.7339311454297681,-0.7339311454297681
10,-0.7313826140045174,-0.7313826140045174
10,-0.7325337147193118,-0.7325337147193118
10,-0.6763368551408202,-0.6763368551408202
10,-0.7005068050852897,-0.7005068050852897
10,-0.6919716437991026,-0.6919716437991026
10,-0.6926221230003848,-0.6926221230003848
10,-0.6924978095444659,-0.6924978095444659
10,-0.763873758918007,-0.763873758918007
10,-0.8032400047218009,-0.8032400047218009
10,-0.7764261603560481,-0.7764261603560481
10,-0.7758592541761031,-0.7758592541761031
10,-0.7720917000642722,-0.7720917000642722
10,-0.7596279437427241,-0.7596279437427241
10,-0.78843795433275,-0.78843795433275
10,-0.7672049516476958,-0.7672049516476958
10,-0.7654251257815635,-0.7654251257815635
10,-0.7662566435693106,-0.7662566435693106
10,-0.7500700560322305,-0.7500700560322305
10,-0.7783193716067666,-0.7783193716067666
10,-0.7586612098632134,-0.7586612098632134
10,-0.7583255780516033,-0.7583255780516033
10,-0.7568001852161247,-0.7568001852161247
10,-0.6991435726560893,-0.6991435726560893
10,-0.7226293883097864,-0.7226293883097864
10,-0.7096486293705467,-0.7096486293705467
10,-0.710940839671347,-0.710940839671347
10,-0.7098810529656209,-0.7098810529656209
10,-0.7877651848697137,-0.7877651848697137
10,-0.800952740797708,-0.800952740797708
10,-0.7953125928665252,-0.7953125928665252
10,-0.7931733695644009,-0.7931733695644009
10,-0.7336287221181782,-0.7336287221181782
10,-0.743632507740695,-0.743632507740695
10,-0.7465852242772728,-0.7465852242772728
10,-0.7379808290146239,-0.7379808290146239
10,-0.749174652210615,-0.749174652210615
10,-0.7456648951183,-0.7456648951183
10,-0.7575473859186296,-0.7575473859186296
10,-0.7604927130107342,-0.7604927130107342
10,-0.7499543900118165,-0.7499543900118165
10,-0.7350698179032684,-0.7350698179032684
10,-0.7336939907239763,-0.7336939907239763
10,-0.7429996946203049,-0.7429996946203049
10,-0.7421162016878673,-0.7421162016878673
10,-0.738194137742212,-0.738194137742212
10,-0.7268474325256467,-0.7268474325256467
10,-0.7251803856526872,-0.7251803856526872
10,-0.7331226141491253,-0.7331226141491253
10,-0.7344956166455869,-0.7344956166455869
10,-0.7287559019304048,-0.7287559019304048
10,-0.7229750118753082,-0.7229750118753082
10,-0.7209096039425127,-0.7209096039425127
10,-0.7279786058041336,-0.7279786058041336
10,-0.7323911503673387,-0.7323911503673387
10,-0.7229681157906996,-0.7229681157906996
10,-0.5842336802797514,-0.5842336802797514
10,-0.5773326463888887,-0.5773326463888887
10,-0.5584517896296691,-0.5584517896296691
10,-0.5854077378120494,-0.5854077378120494
10,-0.6107415861566436,-0.6107415861566436
10,-0.5882527541285576,-0.5882527541285576
10,-0.5938192258786361,-0.5938192258786361
10,-0.5838285801344296,-0.5838285801344296
10,-0.5723137936252792,-0.5723137936252792
10,-0.716207182192789,-0.716207182192789
10,-0.6901399208067264,-0.6901399208067264
10,-0.6920077230670094,-0.6920077230670094
10,-0.6913817132664957,-0.6913817132664957
10,-0.7149335931206113,-0.7149335931206113
10,-0.6927085766044928,-0.6927085766044928
10,-0.7283668259297595,-0.7283668259297595
10,-0.7018390480002069,-0.7018390480002069
10,-0.7035178164266577,-0.7035178164266577
10,-0.7029233124844605,-0.7029233124844605
10,-0.7278356348526313,-0.7278356348526313
10,-0.7028240459857208,-0.7028240459857208
10,-0.6116735031112812,-0.6116735031112812
10,-0.5917211713617543,-0.5917211713617543
10,-0.5922327380518156,-0.5922327380518156
10,-0.596074283517625,-0.596074283517625
10,-0.6133815650445428,-0.6133815650445428
10,-0.600637865591365,-0.600637865591365
10,-0.3442083281829635,-0.3442083281829635
10,-0.3520142524579953,-0.3520142524579953
10,-0.3478217140967804,-0.3478217140967804
10,-0.3516745855994371,-0.3516745855994371
10,-0.3565037680443527,-0.3565037680443527
10,-0.3616674068717294,-0.3616674068717294
10,-0.3588214241015616,-0.3588214241015616
10,-0.3608498965514986,-0.3608498965514986
10,-0.3442170686914797,-0.3442170686914797
10,-0.353377299910618,-0.353377299910618
10,-0.3481092793065298,-0.3481092793065298
10,-0.3531728821710419,-0.3531728821710419
10,-0.3676523341754966,-0.3676523341754966
10,-0.3743205460043042,-0.3743205460043042
10,-0.3694912878704376,-0.3694912878704376
10,-0.3733341344553925,-0.3733341344553925
10,-0.3966467040390602,-0.3966467040390602
10,-0.403265814152792,-0.403265814152792
10,-0.3998018522441145,-0.3998018522441145
10,-0.4029590399146439,-0.4029590399146439
10,-0.6291142353769641,-0.6291142353769641
10,-0.6297476744692463,-0.6297476744692463
10,-0.6312708655789412,-0.6312708655789412
10,-0.7309434143076557,-0.7309434143076557
10,-0.7279034610811163,-0.7279034610811163
10,-0.7340792449475879,-0.7340792449475879
10,-0.6949357676947754,-0.6949357676947754
10,-0.7280723558404018,-0.7280723558404018
10,-0.7256360769989526,-0.7256360769989526
10,-0.7243740459708513,-0.7243740459708513
10,-0.7061636212649471,-0.7061636212649471
10,-0.7022640452444376,-0.7022640452444376
10,-0.708070692442614,-0.708070692442614
10,-0.7114600191541223,-0.7114600191541223
10,-0.650418469568312,-0.650418469568312
10,-0.6673229309577088,-0.6673229309577088
10,-0.6814044582570488,-0.6814044582570488
10,-0.6686725392418801,-0.6686725392418801
10,-0.7369804809670418,-0.7369804809670418
10,-0.7481333915598735,-0.7481333915598735
10,-0.7430868465978326,-0.7430868465978326
10,-0.7640030913528238,-0.7640030913528238
10,-0.7431175959476463,-0.7431175959476463
10,-0.6752400973449862,-0.6752400973449862
10,-0.6838884172288775,-0.6838884172288775
10,-0.677913833138027,-0.677913833138027
10,-0.6890211007061161,-0.6890211007061161
10,-0.6806318148101933,-0.6806318148101933
10,-0.7494146551068539,-0.7494146551068539
10,-0.7282001190479739,-0.7282001190479739
10,-0.7231083947483863,-0.7231083947483863
10,-0.7360073125700232,-0.7360073125700232
10,-0.7237239197596242,-0.7237239197596242
10,-0.7276907682038924,-0.7276907682038924
10,-0.7260156622239408,-0.7260156622239408
10,-0.7283055397649403,-0.7283055397649403
10,-0.7273526947375131,-0.7273526947375131
10,-0.728865875589563,-0.728865875589563
10,-0.73391393977429,-0.73391393977429
10,-0.7277715328304417,-0.7277715328304417
10,-0.732580625816361,-0.732580625816361
10,-0.7319070825748162,-0.7319070825748162
10,-0.7296001329889108,-0.7296001329889108
10,-0.7207849158984558,-0.7207849158984558
10,-0.7172508952693968,-0.7172508952693968
10,-0.7198223059700559,-0.7198223059700559
10,-0.7182200757876319,-0.7182200757876319
10,-0.7186795239469229,-0.7186795239469229
10,-0.7013613695612103,-0.7013613695612103
10,-0.7007760528213037,-0.7007760528213037
10,-0.70211898112068,-0.70211898112068
10,-0.6995009001555833,-0.6995009001555833
10,-0.6998316277835073,-0.6998316277835073
10,-0.725580231614098,-0.725580231614098
10,-0.7210501055204007,-0.7210501055204007
10,-0.7257141628313055,-0.7257141628313055
10,-0.7213715854301733,-0.7213715854301733
10,-0.7213646373469118,-0.7213646373469118
10,-0.3828590680009601,-0.3828590680009601
10,-0.3922749429530297,-0.3922749429530297
10,-0.3779524987195705,-0.3779524987195705
10,-0.3845417009918484,-0.3845417009918484
10,-0.3761509581469539,-0.3761509581469539
10,-0.4282596429412637,-0.4282596429412637
10,-0.4352984040144087,-0.4352984040144087
10,-0.4245424433439549,-0.4245424433439549
10,-0.4302052121650164,-0.4302052121650164
10,-0.4235836442223789,-0.4235836442223789
10,-0.4199790431831442,-0.4199790431831442
10,-0.4257995033945439,-0.4257995033945439
10,-0.4161916569925691,-0.4161916569925691
10,-0.4218109261990547,-0.4218109261990547
10,-0.4139249336476513,-0.4139249336476513
10,-0.4201319841859403,-0.4201319841859403
10,-0.4243233323273863,-0.4243233323273863
10,-0.4179300512756036,-0.4179300512756036
10,-0.4221811734739898,-0.4221811734739898
10,-0.4171038814605506,-0.4171038814605506
10,-0.4448621854247538,-0.4448621854247538
10,-0.4486943906755841,-0.4486943906755841
10,-0.4420842413971689,-0.4420842413971689
10,-0.4465432329055259,-0.4465432329055259
10,-0.440479516476117,-0.440479516476117
10,-0.4423824564311875,-0.4423824564311875
10,-0.4498102416928076,-0.4498102416928076
10,-0.6428650417610335,-0.6428650417610335
10,-0.6790007193228241,-0.6790007193228241
10,-0.6437113618994909,-0.6437113618994909
10,-0.6570745388594355,-0.6570745388594355
10,-0.655316306790371,-0.655316306790371
10,-0.6591159943692726,-0.6591159943692726
10,-0.7191153967867048,-0.7191153967867048
10,-0.6868553375227654,-0.6868553375227654
10,-0.7255814931578888,-0.7255814931578888
10,-0.7211615176688058,-0.7211615176688058
10,-0.7246631613924303,-0.7246631613924303
10,-0.7220461759359201,-0.7220461759359201
10,-0.7042892552922264,-0.7042892552922264
10,-0.7037856566993828,-0.7037856566993828
10,-0.6856264881944033,-0.6856264881944033
10,-0.7311392877872561,-0.7311392877872561
10,-0.533102834815825,-0.533102834815825
10,-0.5307857473586856,-0.5307857473586856
10,-0.7525745643322408,-0.7525745643322408
10,-0.759331252935048,-0.759331252935048
10,-0.7578448862967978,-0.7578448862967978
10,-0.7478604857264631,-0.7478604857264631
10,-0.7592607903233909,-0.7592607903233909
10,-0.7459694814212428,-0.7459694814212428
10,-0.756900042065238,-0.756900042065238
10,-0.7602748675842957,-0.7602748675842957
10,-0.7587992365066588,-0.7587992365066588
10,-0.7481097266361588,-0.7481097266361588
10,-0.7555285511320317,-0.7555285511320317
10,-0.6924318005581903,-0.6924318005581903
10,-0.7000686190595489,-0.7000686190595489
10,-0.7023039054701228,-0.7023039054701228
10,-0.7015653017326511,-0.7015653017326511
10,-0.6985970936500705,-0.6985970936500705
10,-0.7007811572319778,-0.7007811572319778
10,-0.7544405875783916,-0.7544405875783916
10,-0.7622313343993565,-0.7622313343993565
10,-0.7683461975974577,-0.7683461975974577
10,-0.7667925903880389,-0.7667925903880389
10,-0.7572119509158881,-0.7572119509158881
10,-0.7574220302941413,-0.7574220302941413
10,-0.769366418008743,-0.769366418008743
10,-0.7754754859439109,-0.7754754859439109
10,-0.7813506745032996,-0.7813506745032996
10,-0.7777960314516609,-0.7777960314516609
