clf,r,lam,acc
NC,16,,0.14666666666666667
Ridge,16,0.001,0.4222222222222222
Ridge,16,0.003,0.4222222222222222
Ridge,16,0.01,0.4222222222222222
Ridge,16,0.03,0.4222222222222222
Ridge,16,0.1,0.4222222222222222
NC,32,,0.14666666666666667
Ridge,32,0.001,0.4177777777777778
Ridge,32,0.003,0.4177777777777778
Ridge,32,0.01,0.4177777777777778
Ridge,32,0.03,0.4177777777777778
Ridge,32,0.1,0.4177777777777778
NC,48,,0.14666666666666667
Ridge,48,0.001,0.4177777777777778
Ridge,48,0.003,0.4177777777777778
Ridge,48,0.01,0.4177777777777778
Ridge,48,0.03,0.4177777777777778
Ridge,48,0.1,0.4177777777777778
NC,64,,0.14666666666666667
Ridge,64,0.001,0.4177777777777778
Ridge,64,0.003,0.4177777777777778
Ridge,64,0.01,0.4177777777777778
Ridge,64,0.03,0.4177777777777778
Ridge,64,0.1,0.4177777777777778
NC,96,,0.14666666666666667
Ridge,96,0.001,0.4177777777777778
Ridge,96,0.003,0.4177777777777778
Ridge,96,0.01,0.4177777777777778
Ridge,96,0.03,0.4177777777777778
Ridge,96,0.1,0.4177777777777778
NC,128,,0.14666666666666667
Ridge,128,0.001,0.4177777777777778
Ridge,128,0.003,0.4177777777777778
Ridge,128,0.01,0.4177777777777778
Ridge,128,0.03,0.4177777777777778
Ridge,128,0.1,0.4177777777777778
